"","name","alignment","gender","race","eye","hair","height_cm","weight_kg","publisher"
"430","Man-Wolf","good","Male",NA,"brown","Red",188,90,"Marvel Comics"
"431","Mandarin","bad","Male","Human","blue","White",188,97,"Marvel Comics"
"432","Mantis","good","Female","Mixed-Race","green","Burnette",168,52,"Marvel Comics"
"433","Martian Manhunter","good","Male","Extraterrestrials","red","No Hair",201,135,"DC Comics"
"434","Marvel Girl","good","Female",NA,"green","Red",170,56,"Marvel Comics"
"437","Match","bad","Male",NA,"black","Burnette",NA,NA,"DC Comics"
"439","Maverick","good","Male",NA,"blue","Burnette",193,110,"Marvel Comics"
"440","Maxima","bad","Female",NA,"brown","Red",180,72,"DC Comics"
"442","Medusa","good","Female","Human","green","Red",180,59,"Marvel Comics"
"443","Meltdown","good","Female",NA,"blue","Blond",165,54,"Marvel Comics"
"444","Mephisto","bad","Male",NA,"white","Burnette",198,140,"Marvel Comics"
"445","Mera","good","Female","Amazon/Atlantean","blue","Red",175,72,"DC Comics"
"446","Metallo","bad","Male","Android/Cyborg","green","Burnette",196,90,"DC Comics"
"447","Metamorpho","good","Male",NA,"black","No Hair",185,90,"DC Comics"
"448","Meteorite","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"449","Metron","good","Male",NA,"blue","Burnette",185,86,"DC Comics"
"452","Micro Lad","good","Male",NA,"grey/silver","Burnette",183,77,"DC Comics"
"453","Mimic","good","Male",NA,"brown","Burnette",188,101,"Marvel Comics"
"455","Misfit","good","Female",NA,"blue","Red",NA,NA,"DC Comics"
"456","Miss Martian","good","Female",NA,"red","Red",178,61,"DC Comics"
"457","Mister Fantastic","good","Male","Human","brown","Burnette",185,81,"Marvel Comics"
"458","Mister Freeze","bad","Male","Human",NA,NA,183,86,"DC Comics"
"459","Mister Knife","bad","Male","Extraterrestrials","blue","Burnette",NA,NA,"Marvel Comics"
"460","Mister Mxyzptlk","bad","Male","God/Demi-God/CosmicEntity/Planet",NA,NA,NA,NA,"DC Comics"
"461","Mister Sinister","bad","Male","Human","red","Burnette",196,128,"Marvel Comics"
"462","Mister Zsasz","bad","Male","Human","blue","Blond",NA,NA,"DC Comics"
"463","Mockingbird","good","Female","Human","blue","Blond",175,61,"Marvel Comics"
"464","MODOK","bad","Male","Android/Cyborg","white","Burnette",366,338,"Marvel Comics"
"465","Mogo","good","Male","God/Demi-God/CosmicEntity/Planet",NA,NA,NA,NA,"DC Comics"
"467","Moloch","bad","Male",NA,NA,NA,NA,NA,"DC Comics"
"468","Molten Man","bad","Male",NA,"yellow/gold","Blond",196,248,"Marvel Comics"
"469","Monarch","good","Male",NA,"blue","White",193,90,"DC Comics"
"471","Moon Knight","good","Male","Human","brown","Burnette",188,101,"Marvel Comics"
"472","Moonstone","bad","Female",NA,"blue","Blond",180,59,"Marvel Comics"
"473","Morlun","bad","Male",NA,"heterochromia","Burnette",188,79,"Marvel Comics"
"474","Morph","good","Male",NA,"white","No Hair",178,79,"Marvel Comics"
"475","Moses Magnum","bad","Male",NA,"brown","Burnette",175,72,"Marvel Comics"
"476","Mr Immortal","good","Male","Human","blue","Blond",188,70,"Marvel Comics"
"478","Ms Marvel II","good","Female",NA,"blue","Red",173,61,"Marvel Comics"
"479","Multiple Man","good","Male",NA,"blue","Burnette",180,70,"Marvel Comics"
"480","Mysterio","bad","Male","Human","brown","No Hair",180,79,"Marvel Comics"
"481","Mystique","bad","Female","Human","yellow/gold","Mixed",178,54,"Marvel Comics"
"482","Namor","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"483","Namor","good","Male","Amazon/Atlantean","grey/silver","Burnette",188,125,"Marvel Comics"
"484","Namora","good","Female",NA,"blue","Blond",180,85,"Marvel Comics"
"485","Namorita","good","Female",NA,"blue","Blond",168,101,"Marvel Comics"
"488","Nebula","bad","Female","Extraterrestrials","blue","No Hair",185,83,"Marvel Comics"
"489","Negasonic Teenage Warhead","good","Female","Human","black","Burnette",NA,NA,"Marvel Comics"
"490","Nick Fury","good","Male","Human","brown","Mixed",185,99,"Marvel Comics"
"491","Nightcrawler","good","Male",NA,"yellow/gold","Purple",175,88,"Marvel Comics"
"492","Nightwing","good","Male","Human","blue","Burnette",178,79,"DC Comics"
"495","Nite Owl II","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"496","Northstar","good","Male",NA,"blue","Burnette",180,83,"Marvel Comics"
"497","Nova","good","Male","Human","brown","Burnette",185,86,"Marvel Comics"
"498","Nova","good","Female","Mixed-Race","white","Red",163,59,"Marvel Comics"
"499","Odin","good","Male","God/Demi-God/CosmicEntity/Planet","blue","White",206,293,"Marvel Comics"
"500","Offspring","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"501","Omega Red","bad","Male",NA,"red","Blond",211,191,"Marvel Comics"
"504","One-Above-All","neutral",NA,"God/Demi-God/CosmicEntity/Planet",NA,NA,NA,NA,"Marvel Comics"
"505","Onslaught","bad","Male","Human","red","No Hair",305,405,"Marvel Comics"
"506","Oracle","good","Female","Human","blue","Red",178,59,"DC Comics"
"507","Osiris","good","Male",NA,"brown","Burnette",NA,NA,"DC Comics"
"509","Ozymandias","bad","Male","Human","blue","Blond",NA,NA,"DC Comics"
"510","Parademon","bad",NA,"Extraterrestrials",NA,NA,NA,NA,"DC Comics"
"512","Penance","good",NA,NA,NA,NA,NA,NA,"Marvel Comics"
"513","Penance I","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"514","Penance II","good","Male",NA,"blue","Blond",183,89,"Marvel Comics"
"515","Penguin","bad","Male","Human","blue","Burnette",157,79,"DC Comics"
"517","Phantom","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"518","Phantom Girl","good","Female",NA,"blue","Burnette",168,54,"DC Comics"
"519","Phoenix","good","Female","Human","green","Red",168,52,"Marvel Comics"
"520","Plantman","bad","Male","Human","green","Grey/Silver",183,87,"Marvel Comics"
"521","Plastic Lad","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"522","Plastic Man","good","Male","Human","blue","Burnette",185,80,"DC Comics"
"523","Plastique","bad","Female",NA,"blue","Red",168,55,"DC Comics"
"524","Poison Ivy","bad","Female","Human","green","Red",168,50,"DC Comics"
"525","Polaris","good","Female","Human","green","Green",170,52,"Marvel Comics"
"526","Power Girl","good","Female","Extraterrestrials","blue","Blond",180,81,"DC Comics"
"527","Power Man","good","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"529","Professor X","good","Male","Human","blue","No Hair",183,86,"Marvel Comics"
"530","Professor Zoom","bad","Male","Human","blue","Blond",180,81,"DC Comics"
"531","Proto-Goblin","bad","Male",NA,"green","Blond",NA,NA,"Marvel Comics"
"532","Psylocke","good","Female","Human","blue","Purple",180,70,"Marvel Comics"
"533","Punisher","good","Male","Human","blue","Burnette",183,90,"Marvel Comics"
"534","Purple Man","bad","Male","Human","purple","Purple",180,74,"Marvel Comics"
"535","Pyro","bad","Male",NA,"blue","Blond",178,68,"Marvel Comics"
"538","Question","good","Male","Human","blue","Blond",188,83,"DC Comics"
"539","Quicksilver","good","Male","Human","blue","Grey/Silver",183,79,"Marvel Comics"
"540","Quill","good","Male",NA,"brown","Burnette",163,56,"Marvel Comics"
"541","Ra's Al Ghul","bad","Male","Human","green","Grey/Silver",193,97,"DC Comics"
"545","Raven","neutral","Female","Human","purple","Burnette",165,50,"DC Comics"
"546","Ray","good","Male","Human","green","Red",178,70,"DC Comics"
"547","Razor-Fist II","bad","Male",NA,"blue","No Hair",191,117,"Marvel Comics"
"548","Red Arrow","good","Male","Human","green","Red",180,83,"DC Comics"
"549","Red Hood","neutral","Male","Human","blue","Burnette",183,81,"DC Comics"
"550","Red Hulk","neutral","Male","Human","yellow/gold","Burnette",213,630,"Marvel Comics"
"552","Red Robin","good","Male","Human","blue","Burnette",165,56,"DC Comics"
"553","Red Skull","bad","Male",NA,"blue","No Hair",188,108,"Marvel Comics"
"554","Red Tornado","good","Male","Android/Cyborg","green","No Hair",185,146,"DC Comics"
"559","Rhino","bad","Male","Human","brown","Burnette",196,320,"Marvel Comics"
"560","Rick Flag","bad","Male",NA,"blue","Burnette",185,85,"DC Comics"
"561","Riddler","bad","Male",NA,NA,NA,NA,NA,"DC Comics"
"562","Rip Hunter","good","Male","Human","blue","Blond",NA,NA,"DC Comics"
"563","Ripcord","good","Female",NA,"green","Burnette",180,72,"Marvel Comics"
"564","Robin","good","Male","Human","blue","Burnette",178,79,"DC Comics"
"565","Robin II","good","Male","Human","blue","Red",183,101,"DC Comics"
"566","Robin III","good","Male","Human","blue","Burnette",165,56,"DC Comics"
"567","Robin V","good","Male","Human","blue","Burnette",137,38,"DC Comics"
"568","Robin VI","neutral","Female","Human","green","Red",NA,NA,"DC Comics"
"569","Rocket Raccoon","good","Male","Animal","brown","Burnette",122,25,"Marvel Comics"
"570","Rogue","good","Female",NA,"green","Mixed",173,54,"Marvel Comics"
"571","Ronin","good","Male","Human","blue","Blond",191,104,"Marvel Comics"
"572","Rorschach","good","Male","Human","blue","Red",168,63,"DC Comics"
"573","Sabretooth","bad","Male","Human","brown","Blond",198,171,"Marvel Comics"
"574","Sage","good","Female",NA,"blue","Burnette",170,61,"Marvel Comics"
"575","Sandman","neutral","Male","Human","brown","Burnette",185,203,"Marvel Comics"
"576","Sasquatch","good","Male",NA,"red","Orange",305,900,"Marvel Comics"
"579","Scarecrow","bad","Male","Human","blue","Burnette",183,63,"DC Comics"
"580","Scarlet Spider","good","Male","Human","blue","Blond",178,74,"Marvel Comics"
"581","Scarlet Spider II","good","Male","Human","brown","Burnette",193,113,"Marvel Comics"
"582","Scarlet Witch","bad","Female","Human","blue","Burnette",170,59,"Marvel Comics"
"583","Scorpia","bad","Female",NA,"green","Red",NA,NA,"Marvel Comics"
"584","Scorpion","bad","Male","Human","brown","Burnette",211,310,"Marvel Comics"
"585","Sebastian Shaw","bad","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"586","Sentry","neutral","Male","Human","blue","Blond",188,87,"Marvel Comics"
"587","Shadow King","good",NA,NA,"red",NA,185,149,"Marvel Comics"
"588","Shadow Lass","good","Female","Extraterrestrials","black","Burnette",173,54,"DC Comics"
"589","Shadowcat","good","Female","Human","hazel","Burnette",168,50,"Marvel Comics"
"590","Shang-Chi","good","Male","Human","brown","Burnette",178,79,"Marvel Comics"
"591","Shatterstar","good","Male",NA,"brown","Red",191,88,"Marvel Comics"
"592","She-Hulk","good","Female","Human","green","Green",201,315,"Marvel Comics"
"593","She-Thing","good","Female","Human","blue","No Hair",183,153,"Marvel Comics"
"594","Shocker","bad","Male","Human","brown","Burnette",175,79,"Marvel Comics"
"595","Shriek","good","Female",NA,"heterochromia","Burnette",173,52,"Marvel Comics"
"596","Shrinking Violet","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"597","Sif","good","Female","Extraterrestrials","blue","Burnette",188,191,"Marvel Comics"
"598","Silk","good","Female","Human","brown","Burnette",NA,NA,"Marvel Comics"
"599","Silk Spectre","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"600","Silk Spectre II","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"601","Silver Surfer","good","Male","Extraterrestrials","white","No Hair",193,101,"Marvel Comics"
"602","Silverclaw","good","Female",NA,"brown","Burnette",157,50,"Marvel Comics"
"603","Simon Baz","good","Male","Human","brown","Burnette",NA,NA,"DC Comics"
"604","Sinestro","neutral","Male","Extraterrestrials","black","Burnette",201,92,"DC Comics"
"605","Siren","bad","Female","Amazon/Atlantean","blue","Purple",175,72,"DC Comics"
"606","Siren II","bad","Female",NA,"black",NA,NA,NA,"DC Comics"
"607","Siryn","bad","Female",NA,"blue","Blond",168,52,"Marvel Comics"
"608","Skaar","good","Male",NA,"green","Burnette",198,180,"Marvel Comics"
"609","Snake-Eyes","bad","Male","Animal",NA,NA,NA,NA,"Marvel Comics"
"610","Snowbird","good","Female",NA,"white","Blond",178,49,"Marvel Comics"
"611","Sobek","good","Male",NA,"white","No Hair",NA,NA,"DC Comics"
"612","Solomon Grundy","bad","Male","Undead","black","White",279,437,"DC Comics"
"613","Songbird","good","Female",NA,"green","Mixed",165,65,"Marvel Comics"
"614","Space Ghost","good","Male","Human",NA,NA,188,113,"DC Comics"
"616","Spectre","good","Male","God/Demi-God/CosmicEntity/Planet","white","No Hair",NA,NA,"DC Comics"
"617","Speedball","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"618","Speedy","good","Male","Human",NA,NA,NA,NA,"DC Comics"
"619","Speedy","good","Female","Human","green","Burnette",NA,NA,"DC Comics"
"620","Spider-Carnage","bad","Male","Extraterrestrials",NA,NA,NA,NA,"Marvel Comics"
"621","Spider-Girl","good","Female","Human","blue","Burnette",170,54,"Marvel Comics"
"622","Spider-Gwen","good","Female","Human","blue","Blond",165,56,"Marvel Comics"
"623","Spider-Man","good","Male","Human","hazel","Burnette",178,74,"Marvel Comics"
"624","Spider-Man","good",NA,"Human","red","Burnette",178,77,"Marvel Comics"
"625","Spider-Man","good","Male","Human","brown","Burnette",157,56,"Marvel Comics"
"626","Spider-Woman","good","Female","Human","green","Burnette",178,59,"Marvel Comics"
"627","Spider-Woman II","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"628","Spider-Woman III","good","Female",NA,"brown","Burnette",173,55,"Marvel Comics"
"629","Spider-Woman IV","bad","Female",NA,"red","White",178,58,"Marvel Comics"
"631","Spyke","good","Male","Human","brown","Blond",183,83,"Marvel Comics"
"632","Stacy X","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"633","Star-Lord","good","Male","Mixed-Race","blue","Blond",188,79,"Marvel Comics"
"634","Stardust","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"635","Starfire","good","Female","Extraterrestrials","green","Red",193,71,"DC Comics"
"636","Stargirl","good","Female","Human","blue","Blond",165,62,"DC Comics"
"637","Static","good","Male","Human","brown","Burnette",170,63,"DC Comics"
"638","Steel","good","Male",NA,"brown","No Hair",201,131,"DC Comics"
"640","Steppenwolf","bad","Male","God/Demi-God/CosmicEntity/Planet","red","Burnette",183,91,"DC Comics"
"641","Storm","good","Female","Human","blue","White",180,57,"Marvel Comics"
"643","Sunspot","good","Male","Human","brown","Burnette",173,77,"Marvel Comics"
"644","Superboy","good","Male",NA,"blue","Burnette",170,68,"DC Comics"
"645","Superboy-Prime","bad","Male","Extraterrestrials","blue","Mixed",180,77,"DC Comics"
"646","Supergirl","good","Female","Extraterrestrials","blue","Blond",165,54,"DC Comics"
"647","Superman","good","Male","Extraterrestrials","blue","Burnette",191,101,"DC Comics"
"648","Swamp Thing","bad","Male","God/Demi-God/CosmicEntity/Planet","red","No Hair",NA,NA,"DC Comics"
"649","Swarm","bad","Male","Human","yellow/gold","No Hair",196,47,"Marvel Comics"
"651","Synch","good","Male",NA,"brown","Burnette",180,74,"Marvel Comics"
"656","Taskmaster","bad","Male","Human","brown","Burnette",188,99,"Marvel Comics"
"657","Tempest","good","Female",NA,"brown","Burnette",163,54,"Marvel Comics"
"658","Thanos","bad","Male","Extraterrestrials","red","No Hair",201,443,"Marvel Comics"
"660","The Comedian","neutral","Male","Human","brown","Burnette",188,101,"DC Comics"
"661","Thing","good","Male","Human","blue","No Hair",183,225,"Marvel Comics"
"662","Thor","good","Male","Extraterrestrials","blue","Blond",198,288,"Marvel Comics"
"663","Thor Girl","good","Female","Extraterrestrials","blue","Blond",175,143,"Marvel Comics"
"664","Thunderbird","good","Male",NA,"brown","Burnette",185,101,"Marvel Comics"
"665","Thunderbird II","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"666","Thunderbird III","good","Male",NA,"brown","Burnette",175,74,"Marvel Comics"
"667","Thunderstrike","good","Male",NA,"blue","Blond",198,288,"Marvel Comics"
"668","Thundra","good","Female",NA,"green","Red",218,158,"Marvel Comics"
"669","Tiger Shark","bad","Male","Human","grey/silver","No Hair",185,203,"Marvel Comics"
"670","Tigra","good","Female",NA,"green","Red",178,81,"Marvel Comics"
"671","Tinkerer","bad","Male",NA,"brown","White",163,54,"Marvel Comics"
"673","Toad","neutral","Male","Human","black","Burnette",175,76,"Marvel Comics"
"674","Toxin","good","Male","Extraterrestrials","blue","Burnette",188,97,"Marvel Comics"
"675","Toxin","good","Male","Extraterrestrials","black","Blond",191,117,"Marvel Comics"
"677","Trickster","neutral","Male","Human","blue","Blond",183,81,"DC Comics"
"678","Trigon","bad","Male","God/Demi-God/CosmicEntity/Planet","yellow/gold","Burnette",NA,NA,"DC Comics"
"679","Triplicate Girl","good","Female",NA,"purple","Burnette",168,59,"DC Comics"
"680","Triton","good","Male","Human","green","No Hair",188,86,"Marvel Comics"
"681","Two-Face","bad","Male",NA,NA,NA,183,82,"DC Comics"
"682","Ultragirl","good","Female",NA,"blue","Blond",168,105,"Marvel Comics"
"683","Ultron","bad","Male","Android/Cyborg","red",NA,206,331,"Marvel Comics"
"684","Utgard-Loki","bad","Male","Extraterrestrials","blue","White",15.2,58,"Marvel Comics"
"685","Vagabond","good","Female",NA,"blue","Blond",168,54,"Marvel Comics"
"687","Valkyrie","good","Female",NA,"blue","Blond",191,214,"Marvel Comics"
"688","Vanisher","bad","Male",NA,"green","No Hair",165,79,"Marvel Comics"
"690","Venom","bad","Male","Extraterrestrials","blue","Blond",191,117,"Marvel Comics"
"691","Venom II","bad","Male",NA,"brown","Burnette",175,50,"Marvel Comics"
"692","Venom III","bad","Male","Extraterrestrials","brown","Burnette",229,334,"Marvel Comics"
"693","Venompool","neutral","Male","Extraterrestrials",NA,NA,226,NA,"Marvel Comics"
"694","Vertigo II","good","Female",NA,"blue","Grey/Silver",168,52,"Marvel Comics"
"695","Vibe","good","Male","Human","brown","Burnette",178,71,"DC Comics"
"696","Vindicator","good","Female","Human","green","Red",165,54,"Marvel Comics"
"697","Vindicator","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"700","Vision","good","Male","Android/Cyborg","yellow/gold","No Hair",191,135,"Marvel Comics"
"701","Vision II","good",NA,NA,"red","No Hair",191,135,"Marvel Comics"
"702","Vixen","good","Female","Human","brown","Burnette",175,63,"DC Comics"
"703","Vulcan","good","Male",NA,"black","Burnette",NA,NA,"Marvel Comics"
"704","Vulture","bad","Male","Human","brown","No Hair",180,79,"Marvel Comics"
"705","Walrus","bad","Male","Human","blue","Burnette",183,162,"Marvel Comics"
"706","War Machine","good","Male","Human","brown","Burnette",185,95,"Marvel Comics"
"707","Warbird","good","Female",NA,"blue","Blond",180,54,"Marvel Comics"
"708","Warlock","good","Male",NA,"red","Blond",188,108,"Marvel Comics"
"709","Warp","bad","Male",NA,"brown","Burnette",173,67,"DC Comics"
"710","Warpath","good","Male","Human","brown","Burnette",218,158,"Marvel Comics"
"711","Wasp","good","Female","Human","blue","Red",163,50,"Marvel Comics"
"712","Watcher","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"713","Weapon XI","bad","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"714","White Canary","bad","Female","Human","brown","Burnette",NA,NA,"DC Comics"
"715","White Queen","good","Female",NA,"blue","Blond",178,65,"Marvel Comics"
"716","Wildfire","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"717","Winter Soldier","good","Male","Human","brown","Burnette",175,117,"Marvel Comics"
"718","Wiz Kid","good",NA,NA,"brown","Burnette",140,39,"Marvel Comics"
"719","Wolfsbane","good","Female",NA,"green","Red",366,473,"Marvel Comics"
"720","Wolverine","good","Male","Human","blue","Burnette",160,135,"Marvel Comics"
"721","Wonder Girl","good","Female","God/Demi-God/CosmicEntity/Planet","blue","Blond",165,51,"DC Comics"
"722","Wonder Man","good","Male",NA,"red","Burnette",188,171,"Marvel Comics"
"723","Wonder Woman","good","Female","Amazon/Atlantean","blue","Burnette",183,74,"DC Comics"
"724","Wondra","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"725","Wyatt Wingfoot","good","Male",NA,"brown","Burnette",196,117,"Marvel Comics"
"726","X-23","good","Female","Human","green","Burnette",155,50,"Marvel Comics"
"727","X-Man","good","Male",NA,"blue","Burnette",175,61,"Marvel Comics"
"728","Yellow Claw","bad","Male",NA,"blue","No Hair",188,95,"Marvel Comics"
"729","Yellowjacket","good","Male","Human","blue","Blond",183,83,"Marvel Comics"
"730","Yellowjacket II","good","Female","Human","blue","Blond",165,52,"Marvel Comics"
"731","Ymir","good","Male","Extraterrestrials","white","No Hair",304.8,NA,"Marvel Comics"
"733","Zatanna","good","Female","Human","blue","Burnette",170,57,"DC Comics"
"734","Zoom","bad","Male",NA,"red","Burnette",185,81,"DC Comics"
